date,action,symbol,entry_type,entry_price,sl,tp1,tp2,tp3,outcome
2025-11-03 07:56:03,BUY,XAUUSD,RANGE,4022.50000,4016.0,4026.0,4028.0,4031.0,TP2
2025-11-03 13:04:39,BUY,XAUUSD,RANGE,4013.50000,4008.0,4017.0,4019.0,4022.0,TP3
2025-11-04 11:09:08,SELL,XAUUSD,RANGE,3994.50000,4001.0,3990.0,3988.0,3985.0,TP3
2025-11-04 16:34:57,SELL,XAUUSD,RANGE,3970.50000,3976.0,3966.0,3964.0,3961.0,TP3
2025-11-05 10:56:49,SELL,XAUUSD,RANGE,3963.50000,3971.0,3960.0,3958.0,3955.0,TP3
2025-11-05 14:07:48,BUY,XAUUSD,RANGE,3972.00000,3965.0,3976.0,3978.0,3981.0,TP3
2025-11-06 11:24:46,SELL,XAUUSD,RANGE,4008.50000,4012.0,4004.0,4002.0,3999.0,TP1
2025-11-06 13:30:59,BUY,XAUUSD,RANGE,4011.50000,4006.0,4015.0,4017.0,4020.0,TP2
2025-11-07 11:28:29,SELL,XAUUSD,RANGE,4001.50000,4007.0,3998.0,3996.0,3993.0,TP2
2025-11-07 13:13:43,SELL,XAUUSD,RANGE,3999.00000,4006.0,3995.0,3993.0,3990.0,TP2
2025-11-10 11:15:38,BUY,XAUUSD,RANGE,4075.50000,4070.0,4079.0,4081.0,4084.0,TP3
2025-11-10 17:25:15,SELL,XAUUSD,RANGE,4096.50000,4101.0,4092.0,4090.0,4087.0,TP3
2025-11-11 10:33:23,BUY,XAUUSD,RANGE,4136.50000,4131.0,4141.0,4143.0,4146.0,TP3
2025-11-11 12:51:24,BUY,XAUUSD,RANGE,4135.50000,4130.0,4140.0,4142.0,4145.0,TP3
2025-11-12 10:42:07,BUY,XAUUSD,RANGE,4123.50000,4118.0,4127.0,4129.0,4132.0,TP3
2025-11-12 13:17:06,BUY,XAUUSD,RANGE,4124.50000,4118.0,4129.0,4131.0,4134.0,TP3
2025-11-13 11:29:37,BUY,XAUUSD,RANGE,4220.50000,4215.0,4225.0,4227.0,4230.0,TP3
2025-11-13 13:06:11,BUY,XAUUSD,RANGE,4228.00000,4223.0,4232.0,4234.0,4237.0,TP3
2025-11-14 11:54:14,BUY,XAUUSD,RANGE,4145.50000,4141.0,4150.0,4152.0,4155.0,TP3
2025-11-14 16:10:08,BUY,XAUUSD,RANGE,4084.50000,4078.0,4088.0,4090.0,4093.0,TP3
2025-11-17 11:02:36,BUY,XAUUSD,RANGE,4064.00000,4059.0,4068.0,4070.0,4073.0,TP3
2025-11-17 12:20:48,BUY,XAUUSD,RANGE,4076.00000,4069.0,4080.0,4082.0,4083.0,TP3
2025-11-17 16:33:59,BUY,XAUUSD,RANGE,4072.00000,4066.0,4074.0,4076.0,4079.0,TP3
2025-11-17 17:55:24,BUY,XAUUSD,RANGE,4071.50000,4067.0,4076.0,4078.0,4081.0,TP3
2025-11-18 11:02:36,BUY,XAUUSD,RANGE,4044.50000,4039.0,4048.0,4050.0,4053.0,TP3
2025-11-18 15:37:34,SELL,XAUUSD,RANGE,4062.50000,4068.0,4057.0,4055.0,4052.0,TP3
2025-11-19 10:27:43,SELL,XAUUSD,RANGE,4112.50000,4118.0,4108.0,4106.0,4103.0,TP1
2025-11-19 12:22:03,SELL,XAUUSD,RANGE,4113.50000,4118.0,4110.0,4108.0,4105.0,TP3
2025-11-20 10:55:38,SELL,XAUUSD,RANGE,4062.50000,4068.0,4059.0,4057.0,4054.0,TP3
2025-11-20 17:01:17,SELL,XAUUSD,RANGE,4054.50000,4059.0,4051.0,4049.0,4046.0,TP3
